id;topic;email;phone;description
1;Штаты копирование Дом;"i]BkH@\SSS";"\839 81 865";Кожанный
2;черный;"BEj9p@\SSSS";"\\\\\5031 16 80 0 47 8 6";Эргономичный Автомобильное
3;логистический БИОС forecast;"^]@\SSSSS";"\\7 71787 1 0 8 09 3 0";копировать
4;багровый;"2^]Pr@\SSSS";"\7 92263 2 8 6";Главный withdrawal Total
5;НМЖД Borders область;")Q@\SSSSSS";"\\\41 83768 0";e-enable Меховой systemic
6;и Ведущий;"P@\SSS";"\\\\\\4 52 265 968";Фантастический Кожанный extend
7;интерфейс площадь;"(vX+D@\SSSS";"\\\\671283 89 2 74 65";Пластиковый Главный
8;шифрование;"Wv!J7@\SSSSSS";"\\\\\8 79 75715664 6 9 2 0";улица
9;техник;"hoi@\S";"\\\\\\8 6 9 1 25 057";Натуральный deposit Checking
10;ПЗУ drive Versatile;"7@\SSSSS";"\98 29 49 33 0181 4";Vision-oriented Investment Носки
